pitch,roll,yaw,t_ms
-2.74,-1.41,-320.80,397355
-2.70,-1.47,-320.78,397329
-2.69,-1.44,-320.79,397342
-2.75,-1.39,-320.81,397368
-2.75,-1.36,-320.82,397381
-2.75,-1.33,-320.83,397394
-2.74,-1.35,-320.84,397407
-2.74,-1.36,-320.85,397420
-2.73,-1.38,-320.86,397433
-2.71,-1.37,-320.87,397446
-2.72,-1.35,-320.88,397459
-2.72,-1.35,-320.89,397472
-2.72,-1.35,-320.91,397485
-2.72,-1.36,-320.92,397498
-2.73,-1.35,-320.93,397511
-2.72,-1.36,-320.94,397524
-2.71,-1.34,-320.95,397537
-2.72,-1.34,-320.96,397550
-2.72,-1.34,-320.97,397563
-2.72,-1.35,-320.98,397576
-2.74,-1.37,-320.99,397589
-2.74,-1.37,-321.00,397602
-2.71,-1.37,-321.01,397615
-2.70,-1.35,-321.02,397628
-2.70,-1.36,-321.03,397641
-2.72,-1.37,-321.04,397654
-2.74,-1.37,-321.05,397667
-2.73,-1.38,-321.06,397680
-2.73,-1.40,-321.07,397693
-2.72,-1.40,-321.09,397706
-2.72,-1.41,-321.10,397719
-2.73,-1.40,-321.11,397732
-2.73,-1.40,-321.12,397745
-2.74,-1.40,-321.13,397758
-2.73,-1.40,-321.14,397771
-2.72,-1.39,-321.15,397784
-2.71,-1.39,-321.16,397797
-2.72,-1.40,-321.17,397810
-2.71,-1.39,-321.18,397823
-2.73,-1.38,-321.19,397836
-2.74,-1.38,-321.20,397849
-2.74,-1.38,-321.21,397862
-2.74,-1.39,-321.22,397875
-2.74,-1.39,-321.23,397888
-2.74,-1.40,-321.24,397901
-2.75,-1.39,-321.25,397914
-2.75,-1.40,-321.26,397927
-2.75,-1.39,-321.27,397940
-2.75,-1.39,-321.28,397953
-2.75,-1.38,-321.29,397966
-2.75,-1.37,-321.30,397979
-2.73,-1.38,-321.31,397992
-2.73,-1.38,-321.33,398005
-2.72,-1.37,-321.34,398018
-2.73,-1.37,-321.35,398031
-2.73,-1.37,-321.36,398044
-2.73,-1.37,-321.37,398057
-2.73,-1.37,-321.38,398070
-2.73,-1.37,-321.39,398083
-2.73,-1.36,-321.40,398096
-2.73,-1.36,-321.41,398109
-2.74,-1.37,-321.42,398122
-2.74,-1.36,-321.43,398135
-2.74,-1.36,-321.44,398148
-2.75,-1.36,-321.45,398161
-2.76,-1.36,-321.46,398174
-2.75,-1.36,-321.47,398187
-2.74,-1.35,-321.48,398200
-2.74,-1.34,-321.49,398213
-2.73,-1.33,-321.51,398226
-2.74,-1.33,-321.52,398239
-2.74,-1.33,-321.53,398252
-2.74,-1.34,-321.54,398265
-2.74,-1.35,-321.55,398278
-2.74,-1.36,-321.56,398291
-2.75,-1.36,-321.57,398304
-2.75,-1.36,-321.58,398317
-2.74,-1.36,-321.59,398330
-2.75,-1.36,-321.60,398343
-2.75,-1.36,-321.61,398356
-2.75,-1.36,-321.62,398369
-2.76,-1.36,-321.63,398382
-2.76,-1.36,-321.64,398395
-2.76,-1.37,-321.65,398408
-2.75,-1.36,-321.66,398421
-2.75,-1.37,-321.67,398434
-2.74,-1.37,-321.68,398447
-2.73,-1.36,-321.70,398460
-2.74,-1.37,-321.71,398473
-2.73,-1.37,-321.72,398486
-2.73,-1.37,-321.73,398499
-2.73,-1.37,-321.74,398512
-2.73,-1.36,-321.75,398525
-2.73,-1.35,-321.76,398538
-2.73,-1.35,-321.77,398551
-2.73,-1.35,-321.78,398564
-2.73,-1.35,-321.79,398577
-2.72,-1.35,-321.80,398590
-2.73,-1.34,-321.81,398603
-2.72,-1.34,-321.82,398616
-2.72,-1.34,-321.83,398629
-2.73,-1.35,-321.85,398642
-2.74,-1.37,-321.86,398655
-2.73,-1.37,-321.87,398668
-2.73,-1.33,-321.88,398681
-2.73,-1.29,-321.89,398694
-2.74,-1.32,-321.90,398707
-2.75,-1.36,-321.91,398720
-2.75,-1.35,-321.92,398733
-2.75,-1.33,-321.93,398746
-2.74,-1.37,-321.94,398759
-2.73,-1.38,-321.95,398772
-2.74,-1.34,-321.96,398785
-2.73,-1.33,-321.97,398798
-2.73,-1.35,-321.99,398811
-2.73,-1.36,-322.00,398824
-2.74,-1.36,-322.01,398837
-2.75,-1.37,-322.02,398850
-2.76,-1.36,-322.03,398863
-2.76,-1.36,-322.04,398876
-2.76,-1.36,-322.05,398889
-2.76,-1.35,-322.06,398902
-2.75,-1.35,-322.07,398915
-2.74,-1.37,-322.08,398928
-2.74,-1.36,-322.09,398941
-2.75,-1.35,-322.10,398954
-2.76,-1.36,-322.11,398967
-2.76,-1.35,-322.12,398980
-2.77,-1.34,-322.13,398993
-2.76,-1.34,-322.15,399006
-2.76,-1.33,-322.16,399019
-2.76,-1.33,-322.17,399032
-2.75,-1.34,-322.18,399045
-2.75,-1.34,-322.19,399058
-2.75,-1.33,-322.20,399071
-2.76,-1.32,-322.21,399084
-2.75,-1.32,-322.22,399097
-2.75,-1.32,-322.23,399110
-2.74,-1.33,-322.24,399123
-2.74,-1.34,-322.25,399136
-2.74,-1.33,-322.26,399149
-2.74,-1.33,-322.27,399162
-2.74,-1.33,-322.28,399175
-2.75,-1.33,-322.29,399188
-2.75,-1.32,-322.30,399201
-2.74,-1.32,-322.31,399214
-2.74,-1.32,-322.32,399227
-2.74,-1.32,-322.34,399240
-2.74,-1.32,-322.35,399253
-2.75,-1.33,-322.36,399266
-2.76,-1.32,-322.37,399279
-2.76,-1.33,-322.38,399292
-2.76,-1.33,-322.39,399305
-2.76,-1.33,-322.40,399318
-2.75,-1.33,-322.41,399331
-2.75,-1.33,-322.42,399344
-2.75,-1.33,-322.43,399357
-2.76,-1.33,-322.44,399370
-2.76,-1.33,-322.45,399383
-2.76,-1.34,-322.46,399396
-2.75,-1.34,-322.47,399409
-2.75,-1.34,-322.48,399422
-2.75,-1.34,-322.49,399435
-2.75,-1.34,-322.50,399448
-2.75,-1.34,-322.51,399461
-2.75,-1.34,-322.52,399474
-2.75,-1.34,-322.54,399487
-2.76,-1.34,-322.55,399500
-2.76,-1.34,-322.56,399513
-2.77,-1.34,-322.57,399526
-2.76,-1.34,-322.58,399539
-2.76,-1.34,-322.59,399552
-2.76,-1.34,-322.60,399565
-2.76,-1.34,-322.61,399578
-2.76,-1.34,-322.62,399591
-2.76,-1.34,-322.63,399604
-2.76,-1.34,-322.64,399617
-2.76,-1.34,-322.65,399630
-2.76,-1.35,-322.66,399643
-2.76,-1.34,-322.67,399656
-2.76,-1.34,-322.68,399669
-2.76,-1.34,-322.69,399682
-2.76,-1.34,-322.70,399695
-2.76,-1.34,-322.71,399708
-2.77,-1.34,-322.73,399721
-2.77,-1.35,-322.74,399734
-2.77,-1.34,-322.75,399747
-2.77,-1.34,-322.76,399760
-2.77,-1.34,-322.77,399773
-2.77,-1.34,-322.78,399786
-2.77,-1.34,-322.79,399799
-2.76,-1.34,-322.80,399812
-2.76,-1.34,-322.81,399825
-2.76,-1.34,-322.82,399838
-2.76,-1.34,-322.83,399851
-2.76,-1.34,-322.84,399864
-2.76,-1.34,-322.85,399877
-2.77,-1.33,-322.86,399890
-2.76,-1.32,-322.87,399903
-2.76,-1.33,-322.88,399916
-2.76,-1.33,-322.89,399929
-2.75,-1.34,-322.90,399942
-2.75,-1.34,-322.92,399955
-2.75,-1.34,-322.93,399968
-2.76,-1.34,-322.94,399981
-2.75,-1.34,-322.95,399994
-2.75,-1.34,-322.96,400007
-2.76,-1.34,-322.97,400020
-2.76,-1.34,-322.98,400033
