p1,r1,y1,p2,r2,y2,t_ms
-0.01,9.85,-151.26,-0.46,185.54,187.00,307069
-0.02,9.88,-151.26,-0.78,181.02,187.02,307085
-0.01,9.93,-151.27,-0.89,179.52,187.03,307101
-0.04,9.90,-151.28,-0.96,178.78,187.04,307117
-0.06,9.91,-151.29,-1.01,178.31,187.05,307133
-0.06,9.92,-151.30,-1.03,177.98,187.06,307149
-0.06,9.92,-151.31,-1.04,177.75,187.07,307165
-0.07,9.92,-151.32,-1.05,177.56,187.08,307181
-0.09,9.91,-151.33,-1.06,177.41,187.09,307197
-0.08,9.91,-151.34,-1.07,177.29,187.10,307213
-0.06,9.93,-151.34,-1.08,177.18,187.11,307229
-0.07,9.93,-151.35,-1.08,177.09,187.12,307245
-0.06,9.95,-151.36,-1.09,177.00,187.13,307261
-0.06,9.94,-151.37,-1.10,176.91,187.14,307277
-0.06,9.94,-151.38,-1.12,176.84,187.15,307293
-0.04,9.94,-151.39,-1.13,176.77,187.16,307309
-0.05,9.95,-151.40,-1.13,176.71,187.17,307325
-0.06,9.96,-151.40,-1.12,176.65,187.18,307341
-0.06,9.97,-151.41,-1.12,176.61,187.19,307357
-0.06,9.97,-151.42,-1.13,176.57,187.20,307373
-0.06,9.99,-151.43,-1.12,176.52,187.21,307389
-0.05,9.98,-151.44,-1.12,176.49,187.23,307405
-0.05,9.97,-151.45,-1.12,176.46,187.24,307421
-0.05,9.98,-151.46,-1.12,176.43,187.25,307437
-0.06,9.98,-151.47,-1.12,176.42,187.26,307453
-0.07,9.99,-151.48,-1.12,176.39,187.27,307469
-0.07,10.00,-151.49,-1.13,176.38,187.28,307485
-0.06,10.01,-151.49,-1.12,176.36,187.29,307501
-0.06,10.02,-151.50,-1.13,176.34,187.30,307517
-0.06,10.02,-151.51,-1.13,176.32,187.31,307533
-0.06,10.01,-151.52,-1.13,176.31,187.32,307549
-0.06,10.01,-151.53,-1.14,176.29,187.33,307565
-0.06,10.01,-151.54,-1.14,176.28,187.34,307581
-0.05,10.00,-151.55,-1.15,176.27,187.35,307597
-0.05,10.00,-151.56,-1.16,176.26,187.36,307613
-0.06,10.00,-151.57,-1.16,176.24,187.37,307629
-0.06,10.01,-151.58,-1.16,176.23,187.38,307645
-0.06,10.01,-151.58,-1.17,176.23,187.39,307661
-0.05,10.01,-151.59,-1.17,176.23,187.40,307677
-0.05,10.02,-151.60,-1.17,176.22,187.41,307693
-0.05,10.02,-151.61,-1.17,176.22,187.42,307709
-0.05,10.02,-151.62,-1.17,176.21,187.44,307725
-0.05,10.02,-151.63,-1.17,176.20,187.45,307741
-0.05,10.02,-151.64,-1.18,176.20,187.46,307757
-0.05,10.03,-151.65,-1.18,176.21,187.47,307773
-0.06,10.03,-151.65,-1.19,176.21,187.48,307789
-0.07,10.03,-151.66,-1.19,176.21,187.49,307805
-0.08,10.03,-151.67,-1.18,176.21,187.50,307821
-0.08,10.02,-151.68,-1.18,176.21,187.51,307837
-0.09,10.02,-151.69,-1.18,176.22,187.52,307853
-0.09,10.03,-151.70,-1.18,176.22,187.53,307869
